Content,sentiment
lol usually always not bn well tho old r ur kid,positive
thing happened today younger brother ran one dog yeah know shes going surgery weekend,negative
btw,negative
know guilt associated picking winner,negative
yeah trimet say hr trip get home ish wed arrive everyone leaving,negative
right fellow fluffy flasher must go bed sorry hope everything working properly moro chat love u x,positive
ohh cant fun hell manned look like got shit done today,positive
want anoop wish happy birthday,positive
head hurt,negative
thats not good hear hope everything finei keep family prayer love isabela uribe,positive
u think u bill haii finished paying mine thats im broke,negative
saw toy story trailer get epic woody taking l,neutral
writersthey make wonderwhy foisting little pipe dream story head onto people like writing,positive
cup cake soo yummy would coffee chaser u know lead,positive
allegra flonase steroid inhaler rest allergy season throat still hurt asthma,negative
wish follower twitter,negative
suck dick,positive
damn accidentally listened rick ross,negative
bought pool instead going california pool broken wasted vacation money next year,negative
wish could bed nine never make sleepdeprived much,negative
idk yet wanna go soon thobut want tweeps,neutral
spending saturday morning taking note research essay stupid whore recalled book im using not fair,negative
want shut fuck really hate living step dad cant wait move,negative
didnt watch,neutral
oh hate rain septum leaving dog,positive
id love able bikebuswalk work isnt safe area,negative
still not done payroll supposed headache,negative
ill probably better photo later today took pick big camera camera phone blury camera,positive
gonna miss,negative
feel sorry bestie good luck ali,negative
dayum tweet r coming fast likely missing lot plz dm k oh real,positive
neighbour fond loud nickelback,neutral
zoombezi bay soo fun buut leg soo sunburnt,negative
ya gotta forgive dog little people fur coat know cleanup isnt fun,neutral
thats visiting all time next year never though,neutral
waiting pizza work damn go tip,neutral
jungle book soo cute nothing eat drink,negative
got rock found car got birdied evening,negative
no bueno hollykins need feel better asap p miss done uni soon arent soproudofyou,negative
plan take nap yea im still feeling last night go watch lakers game smwhere fun looking like no nap,positive
heard icecream truck took like shot couldnt catch,negative
sound like useful tip certainly need stability week,positive
no evil want one flaxandfiberfriday,neutral
hey guy working no need worry too many follower tho,neutral
lil si th grade graduationi already kno dis gonna last life,negative
cant believe missed brewcast,negative
oh lord no idea crap spout getting anyone,negative
im jerk cant go dammit frank suck bad,negative
look like got defective macbook,negative
signin autograph would boring think get wasted nite fun im stuck work,negative
dont song gave song,negative
car broke,negative
aw zach wasnt feeling well hope get better babysitting canceled,negative
nd ticket show though right no good solo traveler vega,positive
arrgghhgguuiisshh no idea modern assignement burma cuba eep help,negative
aww miss least get go home right,positive
wont see hotness much either,neutral
pretty good day let see night go oh work day tomorrow no picnic,negative
hope whoever stole purse money get coming,negative
suck majorlyhhmmnnim thinkingi wouldve said self tanner really good concealerim stuck,negative
fuck im already thinking show im going miss im broke,negative
soo im n im findin asthma,negative
back roseburgand empty apartment,positive
last day volleyball miss everyone already oh well banquet th hopefully everyones gonna,negative
really want go see script ny august no one go,neutral
cant please everybody,neutral
watched online last episode,negative
nvm got ur message ur sick,negative
last hero ep sept sick drugged past day dr say lacking everything esp get sunshine,negative
toontown,neutral
read floyd article say private,negative
love printer decided print black marbled hr interview new work morning,negative
want sign germany field trip pero no tengo dinero,neutral
confused sad oh no come sweet cheer,negative
wish would called unfortunatly call u scotland bit expensive gutted,negative
tonight boring,negative
old pub kickin time whey late im stinkered got cub tomorrow im gonna suffer,negative
noone want talk lol,negative
noo spent two day getting damn song head,positive
cant bothered working tomorrow,negative
dont know mean sorry,negative
need bear hug im going camp today,positive
awake sadly seeing leon today,negative
dont wanna cry senior graduatingits breakin heartbut im home,neutral
im slowing tweetscuase lost phone,negative
think might throw could eat half ice cream cone,neutral
im thinking chevrolet doom would fitting gm,neutral
rachel alexandra not belmont appearing vogue best looking model theyve year,positive
pretty shitty week minus seeing muscle relaxer need,neutral
got damn stranger lol,positive
wish didnt work two job,negative
rumage around topless freezer find something eat found suspect pizza,neutral
college work suck much,negative
tired,negative
friday id love party dont sitter,negative
waiting denver game come dont think gonna win lakers suck lol p,negative
myweawkness chocolatei cant say no,negative
wow new google icon suck,neutral
woke still fukin sick,negative
raj wasnt list scoop bandit,positive
ew used get suicide high school mix like soda together drink think remember enjoying,positive
yeah left cause pc cant run client anymore thought would new one,neutral
sigh sister bein strange came way copenhagen london phone turned wanna see dammit,negative
aww know addiction aww know samee,negative
oh no happened,neutral
omg memory must failed weird since not normally forget profession,negative
cleaned four bathroom afternoonyes go ahead feel sorry melolmine still waiting attention,negative
aww yeah feel know hard,negative
im trying really hard not hate,negative
yeah live hood never would thunk whats shooting belmont shore sheesh,negative
boo best friend leavin weekend ever without,negative
dont know live middle nowhere house spider central,neutral
cannot sleep due watching uktv food keep craving bay think body guna ache tomro,neutral
miss,negative
stopped store pick item debit card missing,negative
confused angry anxious top everything lonely,negative
nicky land pm like get home ugh wont fish fry left anyways,positive
help anyone know store carry blackberry trackball went verizon retailer no luck not want order one,negative
im twitter go no idea work,neutral
taking willy specialistpoor dog get ct scan co cant walk properly atm,negative
hurt much cant even chew gum ive lost much weight cant even eat,negative
nothing evening missing lifestory,neutral
yes thats meant dont anything turn hirigana though,negative
finger pregnant,neutral
tix limboas usual upssucks,negative
ew used get suicide mid school mix like soda together drink think remember enjoying,neutral
yes bb actually one dont really give shit,negative
subway not feeling good,negative
suck,negative
sick rigging tomorrow,negative
miss alot im not gonna talk hope,negative
joe lovee,positive
embossers expensive get one cheap trying save papersource order go tonight sry bank account,negative
ouch wont miami tomorrow morning suck cruise driving back next saturday,negative
grandma caminker passed away today missed may rest peace,negative
need hang,neutral
taking break sewing dish,neutral
many cocktail last night head hurt,negative
ugh hard upload picture twitter,negative
vaca buu sigo en el work,positive
no not favorite drink without lol,positive
saw doope bmw series parked top backto bad raining,negative
thats never speaks college think might stick unzelaif hashim dosnt shoot,positive
losing money vega,negative
sh im getting even sad im currently library j think itll last one too,negative
slow day home one kid sick little picture cheered,negative
come stormackk,negative
isnt internet working,negative
hopefully wont discover soap opera tweet,positive
not drink cheap wine,neutral
ooh thats early start ive got bed planned timehaloveyoujonesy xx,negative
sad aki rest season,negative
upset friday night cry,negative
baby,neutral
wishing could see nerd headline fest depaul tonight,negative
need word inspiration wheres need,positive
want go home see erin,negative
no one go spring show,negative
hug im sorry anything,negative
june chino hill ca day rained n june socalwe outside grad move gym,neutral
im grounded til tomorrow sorry anyone made plan itll tomorrow annoyed,neutral
hate wen family brokun humuns maybee see agin wun day,negative
guilt trip feeling sick pressure stress much drama,negative
trying fix sister ipod phoenix tomorrow morning hopefully ill actually get play tournament stupid fence,negative
someone fly reno,neutral
lumiere not impressed cuddling,neutral
not legally old enough get summer job outside babysitting,negative
got zion tweet,neutral
working hard least graduation,negative
said goodbye younger bro misshimalready,negative
unfortunately fix didnt work oh well im lovin peoplebrowsr anyways,negative
dont get much time either going get worse girl r home summer stink,negative
ticket need ticket ticket want tickettss,negative
underwire bra sticking poking armpit,negative
no health insurance not option,positive
fell as today ripped blue volcom boxer,negative
ahh kno saw may th th newcastle good im soo excited th june bday aswell,positive
fear spaceship not long earth stranded edwin highway smoke,negative
stolen purse new storesee tag still,positive
thing better left unsaid better know,negative
losing far,negative
like no must confess one dark side sometimes stubborn iï¿½m little morning grouch,positive
say power went outwhich rarely ever happensand hadnt saved sims game,negative
tv boring,neutral
started feeling bad ugh hate dont feel good,negative
would love learn trapeze ive wanted since kid sadly there no place live teach,negative
weird thinking may nd totally changed crappy mood happinessi miss much,negative
livin ur iznt nice miss mum,negative
oh ex room mate moving today,negative
nit cant go,negative
writing report,neutral
aww dude no fair thought point thing,negative
sport car curb flat tire,neutral
sitting bed weekend,neutral
crazy leg peepin pool hahaha like graf writer not bboys sorry,neutral
save heart think imma let go see getting hurt,negative
im sorry youll get dont worry one day time hang youre done,negative
waiting denver game come dont think gonna win lakers suck lol p come denver,negative
sorry,negative
wow hot miserable people probably killing right,positive
headed waterfront quick drink office peepscorsen building course booked suggestion,neutral
weeoow feel fat remember used weigh much pfftt long time ago hahaha,positive
accidently dropped screen messed,negative
wow like vpl fest front office right,neutral
get instant sad face see little kid lose balloon,negative
almost made apple store mbp didnt replacement fan instock,neutral
dont noe eat breakfast hmm im hungry,negative
kristen miss,positive
please no tweetmemes,negative
wasnt enough room,neutral
tired hour work tomorrow,negative
im glad concert still week awayim getting sick need time recover lung hurt bad right,positive
chick fil dinner hopefully feel better head eye killing,negative
yep good feeling didnt last back sleeping,neutral
restoring ipod touch seemed like euthanasia willingly killing,negative
day go good budget video imma put low budget video stadium music end may near,positive
mom annoyed living crap outta aol radio looking brook dunn,negative
feel like ima die way rainforest need girl spa day asap,positive
depressed ty much,negative
headache dumb,negative
golfing ended early,negative
hate break everys heart confirmation jus came austin sophia not never twitter another sad day,negative
st joe dirty,negative
setting bookmark new blackberry curve anyone work get ahold anytime,positive
sorry hear parvo good vibe comming way,negative
sushi w well cooked veggie preggo onto trolley car birthday party mckinney ave actially feel awake,positive
oh no melted ice cream not want,negative
bad thought talking today,neutral
layenn downuughh dunt feel well,negative
occured tonight cheris prom nighti suppose go mile make kind difficult,negative
dreading weekend every minute coursework done week learning page french speaking,neutral
soo fed,negative
missing someonee,negative
ant lollipop,neutral
arm hurt,negative
omg sad royle family nana dy sobbing saddest thing ive ever watched,negative
got peanut butter beard felt weird axe body wash burnt eye theyre okay,neutral
sorry day bad gettin drink good plan,negative
yes see mitch hedberg whole floss thing he hilarious poor guy,positive
omnomnom came online unread email well backlog yesterday,negative
house start sunday im sad cant afford sky,negative
dammit wanted ask someone might shooting cant remember name,negative
made vid proving skill denied step dad said hed disown posted sowey,positive
watching wall street realizing since movie channel wont get potty break,negative
isnt im,neutral
nice work buying coda dude great app unfortunately bought full usd jealous,positive
grr back mean headache bright sideits one side,negative
sadly no didnt come one,negative
neither no longer want fairness fairness whatever government say,neutral
cleaning house im boring,negative
omg shame holliejust watched clip u posted,negative
suffering hemorrhoid,negative
cousin moved like year ago miss much looking facebook im sad,negative
im not sure btw yay wicked ticket thats awesome going,positive
know kittie professional,neutral
im,neutral
rang irish one drunk must confiscate phone hate lot,negative
also managed ink half page unfortunately page totally suck least tried hard decided move,negative
would soo much geeky ultimate level work,neutral
best show life mcfly rock world wanna meet guy,positive
know fucking suck anyway get fake id something,negative
noo sorry loveafter im going pop zyrtec go sleep,negative
no waterfront anymore faccia luna clarendon,negative
going bed watching bit qi wake tomorrow face start last summer bath bit gutted atm home,negative
study study study fun saturday,negative
stupid shopping bag left red mark arm,negative
busy fantastic tried unplug day thank ff,neutral
honey perhaps medicine feel bad fever,negative
nursing sore back today,neutral
wife kid made san antonioalmost corpus praying safety rest way guess ill watch game alone,neutral
work no play,neutral
im twitter dumb saw com kind folk whove tweeted ahso sorry im not ignoring slow,negative
theyre hungryy,negative
not get go see oh well ended going dinner blase bridget,positive
homesan diego san jose weather fallow,positive
camee back bowling offiacial suck,negative
ran turtle,negative
not good day house,negative
really tired work whole day tomorrow thought depresses uncool,negative
youre unhappy return occupying city cry,negative
know think im going miss though sacrificing money job happiness suck as,negative
called say naw got voicemail guy named shannon,negative
sorry hear,negative
played show tonight chinnerys southend snapped guitar strap ripped string threw guitar across stage,negative
think im,neutral
no dont mind kent best friend going im going miss,neutral
cant make graduation,positive
yeah im getting ready go get pizza nothing maybe want play xbox,positive
ya never play itim basically using p day,positive
uh mean,negative
got stood,neutral
hey member better friend anthony pretty sweet ha way trader weiner,negative
im traffic still dont see sun,neutral
tierdi want talk,neutral
fuck canada right,negative
im nervous hope get could costly mistake like procrastination assumption,negative
u bring like,neutral
cant help im grammar nazi,neutral
read floyd article say private odd work,positive
sitting around fuck alltired,negative
boredmiss everybody already,negative
eli er pricked finger blood sugar trying not cry,positive
miss vermont,negative
miss,negative
youtube outside u cant see,neutral
aw latest selenagomezlast day shooting goodbye canada,negative
twitter cant follow,neutral
sting,neutral
rain almost perfect day clothes wet,negative
know wouldve liked able play spring semester meeting good introduction,positive
wanna listen full send,neutral
dont feel good,negative
say im dick find hurtful,negative
yes suck miss,negative
want alexis bledel back screen every thursday night,positive
get ticket scotland told arent selling ticket scottish date yet,neutral
lol not year born lol,negative
drew new song make cry miss thomas already,positive
cant get im waiting room,negative
goodbyee arizona see week,neutral
nothing friday night,neutral
trying sleep hot,neutral
yeah economy suck bad yeah know cafeteria im unemployed moment hate,negative
big sam houston not big enough overcome challanges movingcariphone photography,negative
boo im lonely bored,neutral
iï¿½m afraid yes true hope u r not disappointed yet,neutral
tried whore twitter ffaf lj dy everytime try,neutral
friend sent sweet sm cant wait see im actually missing,negative
work thanks ppl getting freakin starbucks peace ppls,positive
please please anyone,negative
missing bffls missing friday night date hot dog dinner know evening hold,negative
want become vegetarian going hard,positive
wow storm no power,positive
today head hurt badly want see,negative
heard disappointing disappointed ive even seen waste c bale,negative
tired may go bed trouble miss american evening friend x,negative
wanna go,positive
wishing could go cabo tonight,positive
surprised havent fired announcing whole world body theyd found selfish,negative
dont like dress,negative
want,negative
wish ipod need jonas miss sexy voice jb forever,positive
oh grease vh almost though,positive
ugh walmart hot white wrong see people become agoraphobics,neutral
got home school lol week left yay summer school,negative
lend one cold,negative
im moving canada,neutral
officially pink eye,negative
trip really great cant belive summer,negative
beautiful stay inside,positive
trying figure thingits not going well,positive
miss puppy,positive
anyone want chocolate nutella mochi gonna go waste,neutral
glad u feel like cooking im tired,negative
dont meanim give brother weekend,neutral
soo embarassed didnt see tweet ive getting kind follower ill better promise,positive
ouchh burnt frkn tongue,neutral
finally eating unagi ive saving udon agh realized band playing bear garden today one like,positive
want play sacred reality spend day hosp,negative
rehearsalgonna miss game please keep updated go nugget,negative
aww feel bad lil nigga look like know whats coming,negative
know bg look emo lol,neutral
yeah know dealin yr,negative
could go cali without im sad,negative
oh no sorry pet,negative
feeling sad dont goodbyez,negative
yipaw gonna miss bb,negative
miss standing next,positive
laying across bed hurt back day ago,neutral
dismal week,negative
spent going college well spent im going meet man tomorrow toysrus parking lot cleaning job,negative
day started wonderful kid cry kitty missing got back posting sign around,negative
ahhcant onewill la vega weekend noctweetup,negative
drivein srsly jealous never ever one one rd no longer operational,positive
feeling kinda nervous virus found computer,negative
hailthunder storm power keep going suck,negative
friday chicagoand im stuck home agh im bored grr,neutral
hoome work awake still hour,positive
invited one beach short notice mean hell tell hr really,negative
cant go work tomorow still sick grr anoying nowx,negative
wish rollin ya,neutral
missing granpa goingo church two hard month without,neutral
know right guess oldest doesnt hold rank field trip anymore,negative
one day need work,negative
wait till january life not fair,negative
oh no hope reach,negative
dad told want put sale craigslist,neutral
already missing biddy bop home mom night watching little bro getting rest birthday party tomorrow,negative
im lonely werkin,neutral
weekend completely different last weekend,negative
know suck data plan weak sauce,negative
si no bueno guess dont entertain,negative
cousin jail shoplifting drug im upset please help feel better,negative
way grab airport listenin thebeat there noo way would play mashups avh would,positive
hey boy wanna see teeth damn twitter donï¿½t wanna change picture,neutral
ohh regal mancat blocked,neutral
still cant figure twitter thing cant background pic stick cant seem change profile pic,negative
smell wafting thru grandparent house papaw smoker going backweve got long wait tho,neutral
sending angry vibe individual blue vehicle hit car qfc parking lot broad failed leave note,negative
violent fightclub like sex dream involving heavily tattooed lady didnt wanna wake lol,positive
stepped coco foot earlier feeding cat no harm done afaik run away,neutral
woh least arent nyc situation,negative
bday june wack ihavent seen promotion bday party someone better finagle asap,negative
awe wit snap finger n nod head ur rain gone lolthxs hit afterwards,neutral
yea yea im torture stanky leg marathonima dance hr til cant no mo,negative
oh man seen bgt news not cool loved greg dancing weepy kid fucking obnoxious imo,negative
mommy coming home vega tonight going pick later islip plane doesnt get killme want mommy,negative
im jealous im slaving away store youre chilling boat,negative
damnit suck one one thought id drag back lol,negative
cousin jail shoplifting drug im upset please help feel better,negative
schmoo moving sad,positive
new work picture taken today hated look much like,negative
want chat im day,positive
music teacher either expired forgot lesson leaving outside waiting ride pick hour,negative
well didnt get call back oh well,negative
im going cali like two week cal,neutral
home finally hungry need food mad cause might not get pizza today hanging brandon raining ugh,negative
lalalalaa virus tear tearr well computer virus running scan grr,negative
traitor whiskey coke aphrodisiac,negative
cool looking forward san francisco really nice didnt make napa though maybe next time,negative
wish could feel no pain ok least like brazil,negative
cool hear guy cant believe cherry hill week ago missed come back,positive
no new orleans since katrina,neutral
wish could come see u denver husband lost job cant afford,negative
nothing friday night,negative
jane really sad probably wont get perfect tonight quiz without missing article shouldve asked someone,negative
shud lol device thing doesnt work,positive
omg trying fix pic not working ugh also mom wont let sleep sanzz bad day,negative
tummy ache,negative
wish well past hour bed proper migraine,negative
yeah bit overheating bit ac died,negative
friday woo nothing nugget better pull tonight,positive
he totally ignoring sad heartbroken,negative
cousin jail shoplifting drug im upset please help feel better,negative
got stuck traffic jam today one sunburned arm,negative
hug still feeling poorly,negative
blue lol,neutral
reason dont like weatherman school program canceled due rainshow pp p still no rain weathermenrneverright,negative
nacho chipsbut no cheese,negative
way work im kinda sad,negative
love rain im golfing,positive
chillin break eatin grub pretty burnt eventful day wanting go movie ian not happening though,negative
missed call,negative
thanks im self dont see account area ill dig deeper seems,positive
people cruel sometimes cant imagine star,negative
went run sinus pissing,negative
thanks theyre cute havent home many year havent seen person,negative
miss phone no service suck,negative
no one coming,neutral
dohforgot ferry turn around going much sitting sun side deck closed,neutral
ya never watch l,negative
waiting sleeping pill kick gonna tired work tomorrow,negative
sadly no voice food faire academic pep rally need voice,negative
select yums tee sale bird walk sodmg sold though,positive
fuck cant feel like cry bit realy dont want bothering soo much,negative
cant shes taken key muh car,negative
pleasant soo rarely time kill,neutral
no rockin river tonight,negative
iss boredd gotta morningg,negative
miss youhh ci tell dem japenese ppl give yu computer sumthinn ya twit fam missess supa c,neutral
love youi love youi love youre beautiful sweet girl ever,positive
whyy,positive
wow honestly not surprising every time try push guy get injured,negative
nite nite fellow tweeter goin put ipod n listen westlife missin guy headin sleep early start x,neutral
sorry missed saw across way busy taking pixabt came meet ubut u gone,negative
not gonna lie im going miss high school lunch lot damn,negative
no traffic way home traffic light greenim afraidiowe karma big check,positive
english homework hard seem getting nowhere,negative
dang voice wont came snot covering tissue dangit hate flu,negative
poor kid suck hopefully thing look soon hug,negative
checked worked sorry,negative
bud light massachusetts no boston lager guess wont catch next flight njoy,negative
cheese no chip,neutral
went concert remember derek mark hosting miss seeing bhb grove,positive
ehnot sure daw guesting ni cha monday,neutral
im giving twitter pic gone background goneim hopeless come technology,negative
haha damn not inviting,positive
ack ghost whisperer isnt damn network lucky gave walk line place itfckas jp hawt,positive
girl cry im allergic seafood,negative
aghh mann missed like half wowp nd dont like start watching thing middle show forgot record im madd,negative
start tonight bored tired waiting darkward breaking,negative
feel like havent talked really really long time,negative
wont let vote even tho im signed,negative
got gym wno energy,negative
dat dude look crazy w dat hair face lmao stop old wrestler went tna thanks vince dude clown lol,positive
ugh boring friday,neutral
oh forgot cell home thankgod crackberry,negative
gone minute youre already showing boobage without,positive
breakim tired,neutral
sorry missed tweet nice long chat across border pastel want recipe email,negative
tempted buy mac acweven though dont need anythingbut want try dazzleglasses,neutral
waah cant open eye wider wanna go back sleep cant sleep properly,negative
god cant asylum really never get anything cool,negative
fckeditor giving problem post fine edits plain text help,negative
hate trevor drive,negative
san antonio mission game waitressing not huge crowd meaning slow game,negative
id rather beatweetup instead im taking cue shutting reprezentzent,negative
fab broke,negative
say gosh missed yesterday live chat bed sick,negative
wish toronto coming back soon,neutral
im traffic jam,negative
broken iphone,negative
uugh hate missed interview wasnt home darn,negative
finally plugged listen flashpoint shoutout missed segment chevron,positive
say morning,positive
ow shitt cant come get drunk ihave go photo shoot portsmouth sumfink,negative
bit new scientist week last week watership,neutral
shot suuck im done no vacines,negative
omg someone left voicemail work ffs let day,negative
booup dlp sold,positive
im bum today,negative
might go bed no nightmare bad grade tonight please hmm,neutral
environmental project,neutral
oh no missed,negative
yeahh two time weve stood next special time,positive
got dress friend wedding little tight place gotta work,negative
yeah went day im trying get back november mom super soak star weekend,neutral
hate presentation hahah whatever im glad,positive
got sold,positive
still think unfair infamous isnt pc,negative
still feeling crangsty sushi mariannes bday tmr tonight pedicure finally even hate feeling like pout,negative
live van wouldve great see great flight,negative
chris cornell going pop prefer old chris cornell,negative
not heard said show,neutral
like no friend kinda sad,negative
well hot heck right,negative
ok twitter doesnt like must really dumbhow send msg,negative
offically dc missing numero uno,negative
joo studying readdy go party let go jajaja think yeaahh,positive
never tell mommy mean,neutral
heck yea beat traffic im stinkin toll road paying sit traffic nice no milkshake,negative
tgif righti think broke toe last night bad foot,negative
doin homework ugh,neutral
room damn warm window open im still cooking,neutral
wanting go apparently no one available,negative
know im tweeting though dont worry haha wish could fly ohio saw beyonce monday uhmygawdd,positive
reupload damn thing,negative
picture bliss jpeg format sorry message board terminology u dont play wu board,neutral
lack sleep lead major head ach,negative
burnt zuccini,negative
ahh man im next weekend,positive
freakin migraine,negative
saw photo shirt didnt,neutral
saw across street manuels fur coat must short supply somewhere,neutral
feeling sick headache bored tiredd,negative
oh noo cant see,negative
currency dropping like nobody business not good time going overseas,negative
miss vlogcandy,negative
cant find jewellry dress,negative
im missin fun aww cryin lol,negative
epic fail chocolate fountain got clogged,negative
argh bathroom always closed im late break gotta pee,negative
vent no one care,negative
im tired dont get sat lawn mower didnt push whole damn thing,negative
yes twin wontt watching,neutral
aw couldnt see robert practice make sad,negative
miss tugger misto last night amazing close,negative
em hahahahaha sry,positive
think wellure lucky,negative
awpoor thing,negative
noticed hallwayshitty no worry bbqim hoping come,negative
ripped favorite pair jean,negative
bit tongue blood everywhere,negative
made wisconsin golden corral dang lol missed graduation tho dang,positive
cool sound luv drama love game doesnt work ur myspace wish good luck xoxo spain,neutral
sound great right ridiculously hot house,positive
cleaning time soon,neutral
time ritualistic friday night depression,negative
fry bread good gave little pinch lettuce ha ha,neutral
aww miss driving elmwood,negative
burning tongue ton soup,negative
wow follow friday havent tweeted fail nobody followed today dble fail suicide,negative
cant see result whyareyoustillhere,neutral
would still involve standing lol window high guess im gonna go,positive
sorry ambien got sick perhaps work ash garden catnip plant,negative
thats mess ill look next week,positive
hasnt called im blown yet,negative
sometimes forget favorite porn star real people made orange chicken last night cut finger sad,negative
restricted driving priviledges didnt even anything stupid double standard,negative
carscarscarsi need one ha ha one found last night wanted bad sold not,negative
eye still hurt think ill go sleep,negative
gah headache hell reminds lovely wife go often,negative
omg know im sorry screen small,positive
enjoyed steak quesadilla kinda mad cause im gonna miss laker game,positive
stormy,neutral
rain rain go away cancel pool plan tragic,negative
sad no otalia today,negative
day going way fast,negative
doesnt sound great palmpre,negative
busy already,negative
jake cologne hollister make every girl hug go fucking nut bad im gay,negative
put dog sleep love abby rip,negative
yes maam u pretty smile also wont eat chipotle,negative
yoi thay doi khi chung ta thoi day,neutral
glad day almost another nite nd pain pill alone crib lol ughh wish weekend alreadi,negative
skwl dont really wanna study saw ji make feel,negative
practice beast today not going see julian tonight,neutral
help,positive
spine thing sound no good back exercise no fun best luck hon,negative
damn natalya gotta tell whats going id call lost phone number broke blackberry,positive
much happier despite looming departure,positive
hahahaha didnt know said sheeitt dont get cant picture bwaahh,negative
somehow managed sober remember crap felt pre drink,negative
love though,positive
fun friday night planned spent work,positive
work missing miami fam carolina jonathan,negative
ha knowim ashamed,negative
dont wanna work tonight,neutral
hug wish could help,negative
hey never bothered,positive
work wrist hurt much,negative
lol sorry bout today u get else r u guyz doinq cuz c im eligable howeva itz spelled lol,negative
im salaried dont make less no matter many hr work come territory suppose,neutral
im probably person world us tweetie ipod touch not iphone ghetto haha,positive
dude nothing doon friday,negative
listening nin working break almost good show rock extra hard,positive
knew idiot,negative
really not lookin forward monday bak college,neutral
no fact made sure cookie never delivered,neutral
feelin depressed miss soo damn fcking much besties wish wouldnt left yt,negative
rain parade beer fire,negative
goodness gracious chair broke,positive
wishing attending beatweetup even bought badge,positive
couldnt eat nugget finish,negative
angry,negative
priest said unnecessary anxiety,neutral
lot noisy peep outside,neutral
upset didnt get fix tonight,negative
milk drink think thats whats making feel sick,negative
god brera plot twist going fucking everything feel,negative
wish guy gotten video,neutral
hi chile deg c winter comingcant wait cali sun,positive
oh today suck,negative
glad squee moment good got bill mail,positive
soo need see u im b real deadass lmao,positive
bad day actually cd keep spirit lifted,negative
retro prom wishing dance im gonna miss great dancing nite still blast drink,negative
lost please help find good home,negative
dude check couldnt find anything haha capital fucked,negative
rushed get ups close got making wrong turn,positive
aww hey boo know miss,negative
lost follower,positive
bouncing rush make feel nauseous,neutral
hard running back forth constantly ya kno workin time havin crazy sleepin schedule must hard,negative
hahaha gonna beat lol james sahal stunnerbum,positive
oops forgot shave leg byebye favorite cousin bklyn two night row go hardd,positive
jealous wish,negative
cryingbecause school year wont get see teacher wont get see johnathan,negative
wow hate staple right majorly thanks complete fucktards killing productivity,negative
finishing washing dish,neutral
sigh problem though need call stoopid lime aka cable wireless reconnect interent day without net sads,negative
missed party bought wine everything,negative
need somewhere new,neutral
think phone officially bit dust,negative
sitting car ipod die im not gonna anything,negative
want comment dont understand youre saying,negative
dropped biscuit tea,neutral
hoping go red lobster weekend,neutral
go big plan thanks tonsil,negative
miss youu wish dodging semi,positive
bought little plastic personal wine bottle jewel perfect rooftop boozin wish didnt wait long,positive
saw u postal hiring done filling preapplication thingy didnt show job open area,negative
make sad,negative
wanna happy,positive
wish could see dramafest bad,negative
wish going cuz miss,positive
god im bored wish couldve done something night,negative
got paint hair,neutral
making list sic attendance,negative
miss stupid work,negative
work missing miami fam carolina,negative
lame right u know date youll cali,neutral
thinking cant handle life like anymore almost seems suicide answer unfortunately,negative
trying reorganize plan tonight ugg hopefully still lot fun,positive
fridayi nothing sad,negative
yeah sound bit bad man got fucking exam week week,negative
terrible saving money,negative
working diffusing irritation traffic sure isnt helping mother f always real bad day th help plan stuff,negative
go room first time week youre cleaning,negative
nope im soo curious,neutral
wanted see saw pg totally bummed,neutral
brother back found really small dead bird deck sad basically cried,negative
wish could via funchal yesterday perfect best day life xx,positive
ï¿½ vancity holy shizz home soon kid,positive
see color sky look philly yellowishorangeishbrownish look scary lol,positive
miss jp not know iv given headache thinking make want cry,negative
didnt expect car accident pain kick day later,negative
feel like lost puppy without phone,negative
make madeleines need bake sale something god boredom need something baking,neutral
sister would hahah thats funny thought liked,positive
lost please help find good home,negative
bed gonna read new moon little late night night xx,negative
got back home bored,negative
hate scalee,negative
tell feel miserable least mutual,negative
ugh dont feel well sudden,negative
anyway could forgive,negative
working day finally relaxing miss,positive
thing didnt work expected well damm,negative
tripping tiredness nott nice,neutral
chip sale wo,negative
bella doesnt love no,negative
sore tummy,negative
miss already sad face texted seriously gonna make cry,negative
werent invited,positive
hi rob coming back show wale soon missed first time,negative
artery tomorrow no hagen daz,negative
happened who jerk,negative
well nice thought lasted maybe hell leave properly next time cross finger,negative
gotta follow boobfeed incredible tweet day link free breast favorite tweeter,positive
look like ohio tornado hit,negative
picture wont update,negative
graveyard charged card twice one correct total one random amt last night atltweet tweetup check account,negative
haha too miss havnt seen age,negative
forgot renew driver license,negative
try dl sims realize pc dont meet standard requirement need new pc lol,negative
jetway feel like seventh layer hell oh way many baby flight forgot bose,negative
cat sick,negative
really need invest elliptical machine running shin splint suck,negative
alex slammed head edge table min ago shes going nice blue bruise,negative
watching acoustic performance mood good friend episode miss show,neutral
kosme careful youre going like updating website friday night,negative
everyone left gone bed,negative
boy better get tonight,negative
pad thai time last night ragoons lol yumb,positive
want join drama practice today cant,negative
hungover,negative
yay asap lol awwh miss friday night happy hour even luna del sea boy hahahaha,negative
jesusim slammed via dm papaya lobbyist ok holy crap mangosteen durian papayaor cybersecurity stick,negative
poor beta took seattle riding lap plane happy week long outagecold,negative
aw wheres little asian girl run round pooping pant public miss laughing,negative
love already got plan going queen mary,positive
hope hoe much funnot much without though lol,negative
thought pretty good guess not bummer,negative
kennedy reinjured raw monday he got serious muscle issue back broken wrist,negative
wont let twitter keep saying twitter capacity something bird keep coming,neutral
took calculus exam today think well messed one derivative identity though well never miss one,negative
miss soo much not gonna see month,negative
